Airline name,Airline code
Adria Airways,JP
Aegean Airlines,A3
Aer Arann,RE
Aer Lingus,EI
Aeroflot Russian Airlines,SU
Aerolineas Argentinas,AR
Aeromexico,AM
Air Algerie,AH
Air Astana,KC
Air Canada,AC
Air China,CA
Air Europa,UX
Air France,AF
Air India,AI
Air Malta,KM
Air Namibia,SW
Air New Zealand,NZ
Air Seychelles,HM
Air Tahiti,VT
Air Zimbabwe,UM
Alaska Airlines,AS
Alitalia,AZ
All Nippon Airways,NH
American Airlines,AA
Arik Air,W3
Asiana Airlines,OZ
Atlantic Airways,RC
Aurigny,GR
Austrian Airlines,OS
Avianca,AV
Azerbaijan Hava Yollary,J2
Bangkok Airways,PG
Blue1,KF
British Airways,BA
Brussels Airlines,SN
Bulgaria Air,FB
Cathay Pacific,CX
Czech Airlines,OK
China Airlines,CI
China Eastern Airlines,MU
China Southern Airlines,CZ
Croatia Airlines,OU
Cyprus Airways,CY
Delta Air Lines,DL
Eastern Airways,T3
Egyptair,MS
El Al Israel Airlines,LY
Emirates,EK
Estonian Air,OV
Ethiopian Airlines,ET
Etihad Airways,EY
Eva Air,BR
Finnair,AY
Flybe,BE
Garuda Indonesia,GA
Gulf Air,GF
HAHN Air,HR
Hong Kong Airlines,HX
Iberia,IB
Icelandair,FI
Japan Airlines,JL
Jet Airways,9W
Kenya Airways,KQ
KLM Royal Dutch Airlines,KL
Korean Air,KE
Kuwait Airways,KU
LAN Colombia,LA
LOT - Polish Airlines,LO
Lufthansa,LH
Luxair,LG
Malaysia Airlines,MH
Middle East Airlines,ME
Meridiana,IG
Mexicana,MX
Northwest Airlines,NW
Norwegian Air Shuttle,DY
Olympic Air,OA
Oman Air,WY
Rossiya-Russia Airlines,FV
Qantas Airways,QF
Qatar Airways,QR
Royal Air Maroc,AT
Royal Brunei Airlines,BI
Royal Jordanian,RJ
Siberia Airlines,S7
Saudi Arabian Airlines,SV
Scandinavian Airlines System (SAS),SK
Singapore Airlines,SQ
South African Airways,SA
Spanair,JK
SriLankan Airlines,UL
SWISS International Air Lines,LX
TAM Airlines,JJ
TAP Portugal,TP
Tarom,RO
Thai Airways International,TG
Transaero Airlines,UN
Tunisair,TU
Turkish Airlines,TK
Ukraine International Airlines,PS
United Airlines,UA
US Airways,US
Uzbekistan Airways,HY
Vietnam Airlines,VN
Virgin Atlantic Airways,VS
Southwest Airlines,WN
Virgin America,VX
SkyWest Airlines,OO
Spirit Airlines,NK
Hawaiian Airlines,HA
Frontier Airlines,F9
JetBlue,B6
Endeavor Air,9E
ExpressJet,EV
Republic Airlikne,YX
Mesa Airlines,YV
US Airways Express,OH
Envoy Air Inc.,MQ
Allegiant Air LLC,G4
